seed,iteration,total_timesteps,completed_episodes,mean_episode_reward,mean_episode_length,policy_loss,value_loss,entropy,approx_kl,clip_fraction,explained_variance,learning_rate
42,1,2048,91,21.35164835164835,21.35164835164835,-0.023655867471825333,51.37852728664875,0.6846821432933211,0.008713313842599745,0.144775390625,0.004752070006273312,0.0003
42,2,4096,64,33.28125,33.28125,-0.01956128719612025,41.82212814092636,0.6573100481182337,0.008076214874745347,0.095458984375,0.06913562665271755,0.00029249999999999995
42,3,6144,42,49.166666666666664,49.166666666666664,-0.022065556733286938,57.38217080831528,0.6249669997021556,0.006160370963334572,0.085546875,0.17103221159279258,0.000285
42,4,8192,29,69.37931034482759,69.37931034482759,-0.01681430055759847,64.05948770046234,0.594624581374228,0.0049179981928318735,0.06474609375,0.31557627254538756,0.00027749999999999997
42,5,10240,15,133.4,133.4,-0.015114779208670371,64.13884581923485,0.5708724580705166,0.004286364353902172,0.05234375,0.4671028462761323,0.00027
42,6,12288,10,189.4,189.4,-0.007146921806270257,39.16576214432716,0.573925650678575,0.005448765128676314,0.073486328125,0.8047516988940278,0.0002625
42,7,14336,10,224.3,224.3,-0.004450918757356703,31.726308725774288,0.5784268658608198,0.004426370500004851,0.05185546875,0.827709772378262,0.00025499999999999996
42,8,16384,9,213.66666666666666,213.66666666666666,-0.011006805213401093,53.93199018836022,0.551938034594059,0.006821922957897186,0.09111328125,0.658045897572545,0.00024749999999999994
42,9,18432,6,318.0,318.0,-0.011309065303066745,31.50747243911028,0.5632363012060523,0.0054064217503764665,0.075390625,0.864788167695522,0.00023999999999999998
42,10,20480,4,500.0,500.0,-0.010190287510340568,17.76102216988802,0.5592272629961371,0.005906164002954029,0.0744140625,0.8678442654472593,0.00023249999999999999
42,11,22528,5,460.4,460.4,-0.01013174898980651,30.057869788259268,0.5446431106887758,0.007652080943807959,0.128173828125,0.8160717676207973,0.000225
42,12,24576,4,500.0,500.0,-0.004161666650907137,8.55728774133604,0.526108892261982,0.004583088682556991,0.055078125,0.4541663999169483,0.00021749999999999997
42,13,26624,4,500.0,500.0,-0.0022768750670365987,5.861214886687231,0.4998404818587005,0.0024593405600171537,0.015771484375,0.046391646672996334,0.00020999999999999998
42,14,28672,4,500.0,500.0,2.0111247431486844e-05,3.842120908544166,0.5022448246367276,0.0014232786750653758,0.00791015625,0.008108976722747241,0.0002025
42,15,30720,4,500.0,500.0,-0.00015472092782147228,2.3998906684821124,0.514023864082992,0.000692193943541497,0.0052734375,-0.009765763839775898,0.000195
42,16,32768,4,482.75,482.75,-0.002452775259735063,29.52335800975561,0.5084645271301269,0.0014570172468665987,0.00537109375,0.002602808923096833,0.00018749999999999998
42,17,34816,4,500.0,500.0,-0.0009944839461240918,1.8685960242524744,0.5033245152793825,0.0010096732279635035,0.008544921875,-0.39297798975133036,0.00017999999999999998
42,18,36864,5,500.0,500.0,-0.007379166068858467,0.9255911390064284,0.48714638948440553,0.004169596938299947,0.052978515625,0.08653997571815941,0.00017249999999999996
42,19,38912,4,500.0,500.0,-0.009155042262864298,0.4180878316081362,0.4887619184330106,0.0071585695201065395,0.11640625,0.34108613411051036,0.000165
42,20,40960,4,500.0,500.0,-0.002050655454513617,0.25484997084131467,0.49626541407778857,0.0018691081859287806,0.01591796875,0.6882031431000624,0.00015749999999999998
42,21,43008,4,500.0,500.0,-0.006848226833972149,0.1935192473611096,0.4955729552544653,0.003616087265254464,0.03955078125,0.944735851331539,0.00015
42,22,45056,4,500.0,500.0,-0.00748608943686122,0.10082883316790685,0.4850989525206387,0.004125517686770763,0.05146484375,0.879219148171351,0.0001425
42,23,47104,4,500.0,500.0,-0.0037000661133788524,0.0617690015307744,0.4708362253382802,0.004836778584285639,0.063720703125,0.3918820363349408,0.00013499999999999997
42,24,49152,4,500.0,500.0,-0.0011901136516826228,0.0390211020494462,0.4786497324705124,0.0021151416338398123,0.0130859375,0.1917118221506645,0.0001275
42,25,51200,4,500.0,500.0,-0.006114900947432033,0.024784708581501037,0.4843881200999022,0.005252093031594995,0.073193359375,0.6299093339845077,0.00011999999999999999
42,26,53248,4,500.0,500.0,-0.0017344819236313925,0.015564490008546272,0.4794506780803204,0.0012961644868482835,0.002587890625,0.30650793326893533,0.0001125
42,27,55296,4,500.0,500.0,-0.00019355530967004597,0.010016566152171436,0.47556567369028924,0.001289359651855193,0.005078125,0.16522737829300715,0.00010499999999999999
42,28,57344,4,500.0,500.0,-0.0011014266376150772,0.00676952610774606,0.4677418790757656,0.002066988131264225,0.010791015625,0.4131325059894736,9.749999999999998e-05
42,29,59392,5,500.0,500.0,-0.002781660543405451,0.004313491085349596,0.4543852100148797,0.002717452605429571,0.028369140625,0.17527386840339476,9e-05
42,30,61440,4,500.0,500.0,-0.0017801607595174574,0.0030639868151411064,0.45386228067800405,0.0025014314203872347,0.0279296875,0.36831020610260257,8.25e-05
42,31,63488,4,500.0,500.0,-0.0015770912272273564,0.0019278306786418397,0.4742480135522783,0.0014959360152715818,0.015087890625,0.15264674707703252,7.5e-05
42,32,65536,4,500.0,500.0,-0.0033914055515197107,0.001355718505533332,0.4582157270982862,0.0023707258529611862,0.01650390625,0.07352559616244847,6.749999999999999e-05
42,33,67584,4,500.0,500.0,-0.0012510416432633064,0.000942845366171241,0.4551171605475247,0.0016406285110861063,0.004248046875,0.2124497716941478,5.999999999999998e-05
42,34,69632,4,500.0,500.0,-0.0035667189687956123,0.0006205107685559597,0.45196783253923056,0.004103478440083563,0.05732421875,0.059770764133456056,5.250000000000001e-05
42,35,71680,4,500.0,500.0,-0.0013982134070829489,0.00047320768227336884,0.45038763005286453,0.0018938874927698635,0.013525390625,0.4109005291475959,4.5e-05
42,36,73728,4,500.0,500.0,-0.0015393021763884462,0.00029759314974171503,0.4441342709586024,0.0014278290254878812,0.009814453125,0.4996468247959186,3.75e-05
42,37,75776,4,500.0,500.0,-0.0007562371727544814,0.00022592506072669494,0.439780200086534,0.00037453194236150014,0.0005859375,0.4496426265950232,2.999999999999999e-05
